Month,Theme,abc13.com,abc7news.com,autonews.com,boston.com,bostonherald.com,breitbart.com,cbsnews.com,chicagotribune.com,denverpost.com,fox2now.com,foxnews.com,gothamist.com,huffingtonpost.com,kdvr.com,kron4.com,ktla.com,kxan.com,latimes.com,laweekly.com,mercurynews.com,miamiherald.com,miaminewtimes.com,nbcchicago.com,nbclosangeles.com,nbcnews.com,nbcnewyork.com,nbcphiladelphia.com,nbcsandiego.com,nbcwashington.com,newsday.com,newsmax.com,newsweek.com,npr.org,nydailynews.com,nypost.com,nytimes.com,observer.com,philly.com,phillyvoice.com,politico.com,seattlepi.com,seattletimes.com,stltoday.com,theonion.com,twincities.com,usatoday.com,villagevoice.com,westword.com,wgntv.com,wtop.com
Jan-18,env,1478.0,1254.0,213.0,452.0,4420.0,2743.0,2269.0,4034.0,1618.0,622.0,6728.0,,3240.0,487.0,845.0,858.0,638.0,6771.0,58.0,1434.0,4489.0,205.0,488.0,350.0,6875.0,495.0,269.0,380.0,613.0,1538.0,3877.0,3617.0,1546.0,8907.0,2160.0,5097.0,419.0,3182.0,186.0,2745.0,5328.0,8988.0,7555.0,13.0,474.0,2273.0,87.0,200.0,482.0,2876.0
Jan-18,health,2855.0,2242.0,384.0,861.0,8587.0,5143.0,4439.0,7838.0,3138.0,1171.0,12666.0,,6303.0,923.0,1606.0,1566.0,1153.0,12825.0,110.0,2831.0,8646.0,346.0,920.0,661.0,13112.0,976.0,545.0,697.0,1106.0,2858.0,7348.0,6647.0,2876.0,16982.0,4110.0,9697.0,758.0,6045.0,353.0,5142.0,10174.0,17011.0,14362.0,41.0,898.0,4372.0,217.0,394.0,886.0,5501.0
Jan-18,eco,1913.0,1501.0,283.0,557.0,5639.0,3504.0,2754.0,5096.0,2066.0,808.0,8421.0,,4026.0,627.0,1071.0,1014.0,767.0,8388.0,64.0,1805.0,5652.0,223.0,685.0,488.0,8641.0,628.0,379.0,485.0,726.0,1849.0,4844.0,4442.0,1858.0,11095.0,2674.0,6467.0,503.0,3865.0,214.0,3422.0,6649.0,11096.0,9495.0,27.0,620.0,2873.0,130.0,249.0,559.0,3605.0
Nov-18,social,4021.0,3886.0,1105.0,3092.0,2712.0,8008.0,4871.0,8684.0,28.0,1872.0,17976.0,496.0,2730.0,1299.0,1343.0,2837.0,1184.0,6144.0,,,16004.0,,758.0,1279.0,22727.0,901.0,690.0,683.0,948.0,3438.0,5321.0,8373.0,3613.0,3397.0,4164.0,15677.0,412.0,4019.0,346.0,7234.0,20162.0,13589.0,9525.0,44.0,,7243.0,26.0,,1482.0,7540.0
Nov-18,conflict,6036.0,5749.0,1697.0,4644.0,4084.0,11997.0,7282.0,13002.0,46.0,2776.0,27089.0,668.0,4106.0,1945.0,2007.0,4235.0,1813.0,9244.0,,,24183.0,,1146.0,1907.0,34416.0,1417.0,1043.0,1047.0,1385.0,5220.0,7949.0,12648.0,5453.0,5072.0,6318.0,23657.0,610.0,6102.0,492.0,10789.0,30529.0,20440.0,14450.0,69.0,,10843.0,30.0,,2231.0,11328.0
Nov-18,env,1682.0,1535.0,459.0,1213.0,1088.0,3215.0,2011.0,3468.0,14.0,767.0,7330.0,188.0,1133.0,483.0,593.0,1161.0,485.0,2451.0,,,6460.0,,292.0,505.0,9257.0,356.0,287.0,272.0,410.0,1408.0,2185.0,3403.0,1394.0,1413.0,1674.0,6323.0,161.0,1652.0,133.0,2897.0,8277.0,5471.0,3953.0,13.0,,2888.0,7.0,,597.0,2952.0
Nov-18,health,3097.0,3012.0,840.0,2331.0,2051.0,5976.0,3751.0,6767.0,22.0,1444.0,13906.0,365.0,2105.0,944.0,1065.0,2237.0,922.0,4772.0,,,12396.0,,559.0,968.0,17705.0,717.0,533.0,555.0,713.0,2616.0,4053.0,6408.0,2800.0,2652.0,3257.0,12145.0,306.0,3030.0,257.0,5483.0,15446.0,10462.0,7292.0,28.0,,5517.0,13.0,,1119.0,5849.0
Nov-18,eco,2059.0,1928.0,573.0,1517.0,1327.0,4069.0,2527.0,4458.0,18.0,946.0,9013.0,232.0,1381.0,621.0,674.0,1423.0,602.0,3115.0,,,8199.0,,397.0,631.0,11445.0,444.0,361.0,347.0,498.0,1716.0,2641.0,4257.0,1809.0,1779.0,2183.0,7894.0,179.0,2114.0,153.0,3633.0,10253.0,6842.0,4877.0,22.0,,3616.0,13.0,,727.0,3788.0
full_year,social,50064,45306,8802,33070,100394,82946,63700,117395,23882,22942,207402,3201,56173,14710,17892,27558,14427,106850,957,29104,211545,3066,10694,12195,237669,12741,8869,9796,14133,44883,90607,93426,48966,153068,61729,161543,7907,82684,5502,81547,176735,223912,198889,845,9839,81107,2047,4007,16855,107643
full_year,conflict,75267,68568,13499,49524,151016,125180,95878,174726,36225,34595,312158,4733,84220,21739,26766,41077,21585,161647,1433,43859,319186,4623,16024,17980,359160,19143,13141,14760,21122,67506,136833,141754,73334,230645,92591,243962,11814,123968,8173,123132,266621,335598,300336,1246,14643,122619,3123,5939,25400,161901
full_year,env,20242,18494,3627,13326,40028,33541,25694,46792,9768,9240,83899,1279,22396,5760,7357,11061,5886,43360,383,11649,85882,1335,4201,4775,95808,5088,3445,3890,5605,18469,36598,38273,19394,61864,24671,64943,3238,33295,2121,32869,71856,90024,81123,324,3930,33033,844,1580,6824,43413
full_year,health,38175,34955,6859,25327,76953,63497,49213,89556,18245,17832,159734,2481,43059,11058,13753,21214,11055,82464,735,22243,161882,2289,8120,9053,182985,9615,6818,7528,10813,34280,69314,71729,37587,117562,47486,124108,6069,63598,4210,62431,135075,171194,151690,621,7355,62075,1578,3118,13008,82980
full_year,eco,25327,22981,4544,16686,50077,42293,31996,58609,12099,11598,104450,1630,28114,7288,8872,13724,7222,54022,479,14614,107072,1492,5316,6073,119718,6409,4440,4906,7053,22444,45726,47076,24391,76909,31012,81619,3988,41840,2691,41084,89240,112436,100582,409,4867,41238,1023,1927,8396,54161
